"id","scopes","question","answer"
"50","English","turn","поворачивать; вращать; переворачивать; загибать; обходить; отправлять; точить; направлять (на что-л.); turn+прилаг. - делаться, становиться"
"51","English","either","любой; оба; каждый; также, тоже (в отриц. предложениях); или (или ... или ...)"
"52","English","ourselves","себя, себе, собой; сами"
"53","English","(...) ...that it does not have to do anything.","...что не нужно ничего делать."
"54","English","(...) This is so the code...","Это такой код..."
"55","English","(...) ...that watches for focus changes...","...который отслеживает изменение фокуса..."
"56","English","traversal","просмотр-обход; обход (проход); прослеживание, прохождение"
"57","English","yet","ещё, всё ещё, пока что; когда-либо, когда-нибудь; уже (в вопросительных предложениях), пора; ещё, вдобавок; СОЮЗ однако, тем не менее;"
"58","English","dirty","ПРИЛ. грязный, запачканый; непристойный; злостный; тусклый (о цвете); ненастный (о погоде); ГЛ. загрязнять, пачкать"
"59","English","fling","ГЛ. бросаться, кидаться; бросать, метать; СУЩ. бросок"
"60","English","sentinel","СУЩ. часовой, страж; ГЛ. охранять, стоять на страже"
"61","English","duration","длина, длительность, продолжительность"
"62","English","contrary","СУЩ. противоположность; ПРИЛ. обратный, противоположный; неблагоприятный; упрямый; ДОП. вопреки"
"63","English","revert","ГЛ. возвращаться (к чему-л.); (устн.) обращать назад (взгляд)"
"64","English","gutter","СУЩ. канавка, бороздка; сточная канава; дно (общества); ГЛ. вымывать канавки; стекать; угасать (о пламени)"
"65","English","layout","СУЩ. планировка; разметка; макет; (америк. разг.) группа (людей)"
"66","English","rest","ГЛ. отдыхать; давать покой; покоиться; оставаться неподвижным; оставаться спокойным; класть, прислонять; (юр.) отзывать иск; СУЩ. покой, отдых, сон; смерть; перерыв; остаток, остальное"
"67","English","rest in","возлагать на (кого-л. ответственность и т.п.)"
"68","English","rest on/with","быть возложенным, лежать на (ком-либо; об ответственности, вине и т.п.)"
"69","English","rest (up)on/in","держаться, основываться, опираться"
"70","English","pull","ГЛ. тянуть, тащить; натягивать, растягивать; дергать; СУЩ. тяга, рывок"
"71","English","dispatch","СУЩ. отправка, отсылка; казнь; быстрота, скорость; выполнение (какой-л. работы); донесение; депеша; ГЛ. увольнять"
"72","English","emit","ГЛ. испускать, излучать, выделять (свет и т.д.); выбрасывать (пепел напр.); издавать (звук напр.)"
"73","English","consume","ГЛ. тратить; расходовать; уничтожать (обычно об огне); съедать; изнашивать"
"74","English","remember","ГЛ. помнить; вспоминать; вознаграждать; завещать"
"75","English","means to do so","средства (необходимые средства)"
"76","English","sustained","ПРИЛ. устойчивый, продолжительный; непрерывный; (физ.) незатухающий"
"77","English","[eg] или e.g.","например"
"78","English","carry","ГЛ. нести, носить; вести (силой); содержать, нести в себе; иметь (какие-л. свойства); сообщать, распространять; СУЩ. транспортное средство"
"79","English","carry over","везти, возить, перевозить"
"80","English","carry about","иметь при себе, носить с собой"
"81","English","carry weight","иметь вес, влияние"
"82","English","carry a price","иметь цену; стоить денег"
"83","English","carry away/off","выиграть, одержать победу"
"84","English","carry along","увлекать за собой, вести"
"85","English","carry down","передавать, оставлять потомкам"
"86","English","carry forward","продвигать; приносить успех"
"87","English","carry off","похищать; захватывать; свести в могилу; (разг.) выдержать, вынести; (разг.) успешно закончить, выполнить; извинять"
"88","English","carry on","продолжать; вести (дело)"
"89","English","carry out","выполнять, осуществлять; приводить в исполнение"
"90","English","carry through","осуществлять, доводить до конца; помогать, поддерживать (в трудную минуту)"
"91","English","carry up","строить, сооружать"
"92","English","carry to extremes","доводить до крайности"
"93","English","carry all before one","преодолевать все препятствия; выйти победителем"
"94","English","eventual","возможный, могущий случиться; конечный, окончательный"
"95","English","willingness","доступность"
"96","English","nor","также не, тоже не; ни ..., ни ...; не ..., не ..."
"97","English","vice versa","наоборот; с другой стороны..."
"98","English","therefore","по этой причине; вследствие этого; поэтому, следовательно"
"99","English","so far","до сих пор; пока; до настоящего времени"
"100","English","give up","оставить, отказаться; бросить (что-л.)"
"101","English","insight","СУЩ. проницательность"
"102","English","insight into","понимание, догадка, (внезапное) озарение, проникновение в суть"
"103","English","on behalf of","от лица, от имени (кого-л.)"
"104","English","in behalf of","для, ради; в интересах, в пользу, в защиту (кого-л.)"
"105","English","reachable","досягаемый, достижимый; доступный"
"106","English","threshold","порог, пороговая величина; предверие, отправной пункт, канун, начало;"
"107","English","immediately","прямо, непосредственно; немедленно; как только"
"108","English","disambiguation","устранение противоречий; устранение неоднозначности; разрешение конфликтов"
"109","English","inclusion","включение (в состав)"
"110","English","glance","бросить взгляд; взглянуть мельком, одним глазом; едва заметить; блескнуть, сверкнуть; скользнуть, отскочить"
"111","English","unlike","разный, отличный; неравный, неравноценный; нехарактерный, нетипичный; в отличие от"
"112","English","generally","обычно, как правило; в целом; в общем смысле, вообще; в большинстве случаев, большей частью"
"113","English","still","ПРИЛ. бесшумный, тихий; неподвижный; СУЩ. тишина;  ГЛ. успокаиваться; успокаивать; НАРЕЧ. до сих пор, (всё) ещё, однако; ещё (ближе напр.); кроме того"
"114","English","Pros:...","Преимущество:..., За:..."
"115","English","Cons:...","Против:..."
"116","English","expose","делать видимым, обнажать; знакомить (с музыкой напр.)"
"117","English","wish","ГЛ. желать, хотеть; СУЩ. желание; просьба;"
"118","English","wish on","навязывать (кому-л.)"
"119","English","hint","СУЩ. подсказка; намёк; совет; шанс (устн.); ГЛ. намекать"
"120","English","leave","СУЩ. позволение, разрешение; объезд, уход; отправление, отход; расставание, прощание; ГЛ. покидать; уезжать, переезжать; оставлять (след напр.); забывать; оставить (после себя напр.); разрешать, позволять"
"121","English","cite","ГЛ. ссылаться (на что-л.); цитировать; вызывать в суд (юр.); созывать, призывать"
"122","English","route","СУЩ. дорога, путь; шоссе; курс, направление; маршрут, путь следования ГЛ. прокладывать маршрут; направлять (по маршруту); намечать, распределять"
"123","English","their","их; свой;"
"124","English","ancestor","прародитель, предок; (юр.) предшествовавший владелец; прототип, прообраз"
"125","English","once more","ещё раз"
"126","English","opaque","/непрозрачный/ ПРИЛ. непрозрачный; непроницаемый, темный; тусклый, без блеска; глупый; СУЩ. темнота, мрак"
"127","English","ajust","/подгонять/ ГЛ. приводить в порядок; подгонять, пригонять; приспосабливаться, привыкать; регулировать; настривать"
"128","English","worth","СУЩ. ценность, значение; достоинство; цена, стоимость; состояние, доход; запас (чего-л.); ГЛ. УСТ. случаться, происходить; становиться; следовать, надлежать"
"129","English","enough","ПРИЛ. достаточный; СУЩ. достаточное количество; НАРЕЧ. довольно, достаточно"
"130","English","notion","СУЩ. идея, представление, понятие, знание; взгляд, мнение; упоминание; намерение; (устн.) изобретение"
"131","English","forbid","запрещать; не позволять; препятствовать"
"132","English","pending","ПРИЛ. незаконченный, ожидающий решения; надвигающийся, близкий; ПРЕДЛ. в продолжение; в течение; (вплоть) до; в ожидании, ожидая"
"133","English","i.e.","то есть"
"134","English","farther","ПРИЛ. отдаленный, удаленный; дальнейший; дополнительный; НАРЕЧ. сверх того, кроме того, помимо"
"135","English","extent","СУЩ. пространство, протяжение, расстояние; объем; мера, степень, рамки, пределы; размер, величина"
"136","English","deal","СУЩ. некоторое количество; сделка, соглашение, договор; обращение, обхождение; ГЛ. распределять; раздавать, выдавать; наносить (удар); СУЩ. доска; древесина"
"137","English","deal in","покупать и продавать, торговать"
"138","English","deal with","рассматривать (жалобу, проблему); заниматься (решением проблемы);"
"139","English","deal with / by","иметь дело (с кем-л.); обходиться с (кем-л.)"
"140","English","deal with (разг.)","справляться с (ситуацией); наказывать (кого-л.)"
"141","English","render","ГЛ. отдавать, платить; оказывать услугу, помощь; приводить в какое-л. состояние; исполнять (произведение); представлять, изображать, выводить; СУЩ. плата, оплата; оказание услуги; нижний слой штукатурки"
"142","English","render into","переводить (на другой язык)"
"143","English","render up","сдаваться, выбрасывать белый флаг"
"144","English","as well","также, тоже; с таким же успехом"
"145","English","allocate","ГЛ. назначать; распределять; размещать; располагать в определенном месте"
"146","English","spatial","ПРИЛ. пространственный; занимающий какое-л. пространство; ощущающий, воспринимающий пространство"
"147","English","intercept","ГЛ. служить помехой, препятствием; перехватить (сигнал); прерывать, выключать; (мат.) пересечение"
"148","English","anyway","НАРЕЧ. как бы то ни было, во всяком случае; в любом случае; как попало, кое-как"
"149","English","treat","ГЛ. обращаться, обходиться, вести себя (по отношению к кому-л.); относиться (к кому-л. каким-л. образом); обрабатывать, подвергать действию; иметь дело (с кем-л.), договариваться, вести переговоры; обсуждать, рассматривать (проблему напр.); угощать; развлекать; удостаивать (взгляда, улыбки); лечить  СУЩ. удовольствие; наслаждение; угощение"
"150","English","they","они (о людях, животных, предметах); люди (вообще), кто-то; (устн.) те (кто)"
"151","English","facilitate","ГЛ. облегчать; содействовать; способствовать; помогать, продвигать"
"152","English","decay","ГЛ. гнить, разлагаться; разрушаться; угасать, расстраиваться;"
"153","English","in turn","по очереди"
"154","English","circumstance","обстоятельство; случай; условие; материальное положение; деталь, подробность, частность; ритуал, церемония"
"155","English","facilities","средства обслуживания; оборудование; сооружения; устройства; условия (для работы напр.)"
"156","English","acquire","обзаводиться, приобретать; получать; овладевать"
"157","English","fetch","ГЛ. принести, достать; сходить (за кем-л.), позвать; приглашать; достигать, добиваться; приносить доход, зарабатывать; (мор.) достигать берега; (разг.) нравиться, приносить удовольствие; (разг.) ударить, бить СУЩ. принесение (чего-л.); усилия, тяжкие труды, напряжение; уловка, хитрость; вздох, вдох; удушье; (тех.) выборка, вызов"
"158","English","indeed","1. в самом деле, действительно; конечно, несомненно; фактически; 2. даже, более того 3. безусловно"
"159","English","other things being equal","при прочих равных услових"
"160","English","dispose","располагать, размещать, расставлять, определять, предопределять, склонять"
"161","English","essentially","по существу, существенным образом, чрезвычайно"
"162","English","assets","активы, имущество, средства, ресурсы"
"163","English","conversation","разговор, беседа"
"164","English","scared","испуганный"
"165","English","politely","вежливо, любезно"
"166","English","dangling","висящий, свисающий, обособленный"
"167","English","obsolete","устаревший"
"168","English","evolve","развиваться, эволюционировать, меняться"
"169","English","over time","со временем"
"170","English","consumption","потребление, использование"
"171","English","convenient","удобство"
"172","English","meaningful -","значимый; выразительный"
"173","English","best-effort basis","с учётом имеющихся возможностей"
"174","English","effort","усилие, попытка, напряжение"
"175","English","tradeoff","компромисс"
"176","English","threshold","порог"
"177","English","amid","среди, между"
"178","English","utterance","высказывание"
"179","English","fraud","мошеничество, подделка, обман, обманщик"
"180","English","investigate","исследование, расследование"
"181","English","recognizer","распознаватель"
"182","English","kindly","приятный, милый, дружелюбный; хороший (о климате); сердечно, вежливо, любезно; легко, без напряжения; естественным образом"
"183","English","{tried}","{пытался}; надежный, проверенный, испытанный"
"184","English","truncate","усечённый; усекать; укорачивать; сокращать; калечить; округлять; отбрасывать (числа)"
"185","English","restrict","ограничивать"
"186","English","propagation","воспроизведение, размножение; распространение (идей)"
"187","English","consistency","соответствие; логичность, связность; стойкость, устойчивость; прочность, постоянство; слаженность, взаимодействие "
"188","English","properly","должным образом; как следует; правильно; пристойно; собственно, строго говоря; по сути; существенным образом; прекрасно (разг.); вполне"
"189","English","durability","продолжительность, длительность; долговечность; срок службы; прочность; износостойкость (техн.)"
"190","English","become","становиться, делаться; случаться; годиться, подходить; хорошо выглядеть"
"191","English","{suppose}","предполагать, полагать"
"192","English","narrow","узкий, тесный, ограниченный"
"193","English","slightly","мало, незначительно, несущественно"
"194","English","every","каждый, всякий"
"195","English","teammates","товарищи по команде, соратники"
"196","English (Sentences)","I {suppose} you think that was terribly clever.","{Полагаю}, ты считаешь, что это было очень забавно."
"197","English","thereby","(книжн.) таким образом, посредством этого; (устн.) около"
"198","English","salary","зарплата"
"199","English","fulfill","выполнять, исполнять"
"200","English","aware","Знающий. Осведомленный. Сознающий"
"201","English","though","хотя, несмотря на, даже, если бы, тем не менее"
"202","JavaScript","Что делает данная конструкция .replace(regexp/string, function)","function вызывается при каждом совпадении regexp/string. Тем что вернет function будет заменено совпадение. "
"203","English","implicit","Неявный"
"204","JavaScript (промисы)","Опишите сигнатуру функции .then()","Этой функции передаётся 2 параметра. \nПервый - это функция, которая будет вызвана в случае успешного завершения промиса, как параметр ей передаётся результат промиса. \nВторой - это тоже функция, она вызывается в случае ошибки промиса, как параметр ей передаётся (как правило) объект ошибки."
"205","English","omit","пропустить, исключить, опустить из рассмотрения"
"206","English","enforced","навязывать, принуждать, проводить в жизнь"
"207","English","neither","никакой, ни тот ни другой, также не"
"208","English","impose","класть, помещать, фиксировать в определенном положении; возлагать; налагать (ограничения)"
"209","English","purpose","СУЩ. цель, намерение; замысел, стремление; польза, выгода; предмет (обсуждения); воля, целеустремленность; ГЛ. намереваться; предлагать, вносить предложение"
"210","English","attempt","пытаться, стараться, пробовать; соблазнять (уст.); попытка"
"211","Node.js","вопрос51","ответ51"
"212","Node.js","вопрос61","ответ6"
"213","English","care","забота, уход, внимание, беспокоиться, заботиться"
"214","GraphQL","что","ничего"
"215","English","condition","состояние, положение; обстоятельства, условия; ГЛ. обусловливать, определять"
"216","English","intend","намереваться, планировать, значить, иметь в виду"
"217","English","devise","разрабатывать, продумывать"
"218","English","delightful","восхитительный, очаровательный"
"219","English","probably","вероятно, наверное"
"220","English","take","брать; захватывать; ловить; хватать; принимать (форму); выполнять (функции); впитывать; воспринимать; думать; верить; применять; соглашаться; идти"
"221","English","certain","отдельный; точный, определенный; некий; некто; уверенный, убежденный; верный, надежный"
"222","English","suspended","приостановленный"
"223","English","unfortunately","К сожалению"
"224","English","relieving","разгрузка, облегчение"
"225","English","oversight","Надзор, недосмотр, оплошность"
"226","English","accomplish","совершать, выполнять; достигать"
"227","English","tedious","утомительный"
"228","English","distinct","ПРИЛ. отдельный; особый, индивидуальный; отличный; внятный, четкий; отмеченный (чем-л.)"
"229","English","obtain","получать; добывать; существовать; применяться; иметь место; достигать"
"230","JavaScript","Когда выполняется часть default конструкции switch","Если 1) не было совпадения ни с одним case; 2) совпадения case были, но break не вызывался"
"231","JavaScript (промисы)","Когда выполняется функция-executor промиса?","Она выполняется автоматичесчки в момент создания промиса."
"232","English","reject","отвергать, отклонять"
"233","JavaScript (промисы)","Опишите сигнатуру функции передаваемую в конструктор промиса:\n\nnew Promise(function) ...","function(resolve, reject){\n   ...\n}"
"234","English (Sentences)","Not until you learn to {behave}.","Не раньше чем ты научишься {вести себя}"
"235","English (Sentences)","They {behave} both like particles and waves.","Они {ведут себя} одновременно и как частицы и как волны"
"236","JavaScript","Что делает оператор typeof [typeof operand]","Возвращает тип операнда в виде строки"
"237","English","arbitrary ","произвольный, случайный"
"238","English","conjunction","связывание, сцепление, соединение; совпадение (во времени); перекресток; союз (лингв.)"
"239","English","since","с тех пор; тому назад; позднее; с тех пор как; так как; когда (что-то произошло, устн.)"
"240","English","rather","скорее, лучше, охотнее, предпочтительнее;  весьма; наоборот; (разг.) конечно да!"
"241","JavaScript","Что будет в массиве filteredNumbers ?\n\nvar numbers = [1, 2, 3, 4];\nvar filteredNumbers = numbers.map(function(num, index) {\n  if(index < 3) {\n     return num;\n  }\n});","[1, 2, 3, undefined]\n\nсм. https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/map#Mapping_array_have_undefined"
"242","English","affinity","близость, родство"
"243","English (PRG)","Clause","Выражение"
"244","JavaScript (промисы)","Перечислите возможные состояния промиса и что они означают.","1. pending - это состоние когда промис запущен, но еще не перешёл в сотояние fulfilled или rejected;\n2. fulfilled - состояние означающее что промис завершен успешно;\n3. rejected - состояние означающее что промис был завершён с ошибкой;"
"245","JavaScript (промисы)","Верно ли что состояние промиса может быть изменено только один раз?","да, верно. Любые последующие вызовы функций resolve и reject игнорируются если они уже вызывались единожды."
"246","English","ensure","гарантировать, обеспечивать; затраховаться; удостовериться, убедиться"
"247","English","capable","ПРИЛ. способный на что-л.; одаренный; поддающийся чему-л., допускающий что-л.; просторный, вместительный"
"248","English","i mean","я имею в виду"
"249","JavaScript","Что вернет 'aabbcc'.indexOf('c', 2);","4 (индекс буквы b, поиск начинается с индекса 2 строки)"
"250","English","feared","Опасаться. Бояться"
"251","English","increase","возрастание, увеличение"
"252","English","sufficient","достаточный; обоснованный"
"253","English","violation","Нарушение, насилие, осквернение"
"254","JavaScript","Что вернет 'aabbcc'.indexOf('d');","-1 (буква d не найдена в строке)"
"255","English","regardless","НАРЕЧ. безотносительно к чему-либо, невзирая ни на что; ПРИЛ. невнимательный; ничтожный, не стоящий внимания"
"256","English","tie","лента, узел, связь, взаимодействие, обуза, ограничение, ничья, косичка, завязывать, соединять, отставать "
"257","English","mess","портить; беспорядок; неприятность; порция; пачкать"
"258","English","coerce","сдерживать, удерживать силой, принуждать"
"259","English","feel","Чувствовать. Ощущать"
"260","English","redundancy","чрезмерность, избыточность"
"261","JavaScript (промисы)","Главное назначение промисов ?","Для удобной работы с асинхронным кодом"
"262","JavaScript","Изменяет ли .exec свойства регулярного выражения с которым .exec используется? Если изменяет то как?","Изменяет. Заполняет его информацией о последнем совпадении."
"263","English","imply","Означать, подразумевать, предполагать"
"264","English","didicated","предназначенный"
"265","English","accuracy","правильность, соответствие, точность; тщательность, аккуратность"
"266","English (PRG)","no-op","пустой оператор, холостая команда"
"267","English","vulnerability","уязвимость"
"268","English","ultimately","в конце концов, в конечном счёте"
"269","English","descend","убывать, спускаться"
"270","English","persist","ГЛ. сохраняться, продолжать существовать, упорствовать, упорно продолжать; удерживаться, "
"271","English","dead-end","безвыходный, тупиковый, непослушный"
"272","English","existance","жизнь, бытие, существование"
"273","English","whereas","тогда как; несмотря на то что; принимая во внимание, поскольку"
"274","English","behind","сзади, позади"
"275","English","hence","Следовательно, поэтому, отсюда"
"276","English","once","один раз, однажды, когда-то, давний, иногда"
"277","English","sparse","разреженный, редкий, немногочисленный"
